date,period,n,order_up_to,starting_inventory,starting_pending_orders,received_today,inventory_after_receipt,waste_today,inventory_after_expiry,fulfilled_demand,unmet_demand,ending_inventory_before_order,inventory_position_before_order,ordered_today,pending_orders_after_order,ending_inventory,days_until_expiry_oldest_before_demand,oldest_batch_quantity_before_demand,days_until_expiry_oldest_after_demand,oldest_batch_quantity_after_demand,inventory_queue_after_day,pending_order_queue_after_day
2018-03-12,1,88,156,150,0,0,150,0,150,88,0,62,62,94,94,62,4,150,4.0,62,"[{'quantity': 62, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 16)}]","[{'quantity': 94, 'arrival_date': datetime.date(2018, 3, 13)}]"
2018-03-13,1,113,156,62,94,94,156,0,156,113,0,43,43,113,113,43,3,62,4.0,43,"[{'quantity': 43, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 17)}]","[{'quantity': 113, 'arrival_date': datetime.date(2018, 3, 14)}]"
2018-03-14,1,159,156,43,113,113,156,0,156,156,3,0,0,156,156,0,3,43,,0,[],"[{'quantity': 156, 'arrival_date': datetime.date(2018, 3, 15)}]"
2018-03-15,1,131,156,0,156,156,156,0,156,131,0,25,25,131,131,25,4,156,4.0,25,"[{'quantity': 25, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 19)}]","[{'quantity': 131, 'arrival_date': datetime.date(2018, 3, 16)}]"
2018-03-16,1,112,156,25,131,131,156,0,156,112,0,44,44,112,112,44,3,25,4.0,44,"[{'quantity': 44, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 20)}]","[{'quantity': 112, 'arrival_date': datetime.date(2018, 3, 17)}]"
2018-03-17,1,59,156,44,112,112,156,0,156,59,0,97,97,59,59,97,3,44,4.0,97,"[{'quantity': 97, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 21)}]","[{'quantity': 59, 'arrival_date': datetime.date(2018, 3, 18)}]"
2018-03-18,1,57,156,97,59,59,156,0,156,57,0,99,99,57,57,99,3,97,3.0,40,"[{'quantity': 40, 'days_until_expiry': 3, 'expiry_date': datetime.date(2018, 3, 21)}, {'quantity': 59, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 22)}]","[{'quantity': 57, 'arrival_date': datetime.date(2018, 3, 19)}]"
2018-03-19,1,123,156,99,57,57,156,0,156,123,0,33,33,123,123,33,2,40,4.0,33,"[{'quantity': 33, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 23)}]","[{'quantity': 123, 'arrival_date': datetime.date(2018, 3, 20)}]"
2018-03-20,1,117,156,33,123,123,156,0,156,117,0,39,39,117,117,39,3,33,4.0,39,"[{'quantity': 39, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 24)}]","[{'quantity': 117, 'arrival_date': datetime.date(2018, 3, 21)}]"
2018-03-21,1,131,156,39,117,117,156,0,156,131,0,25,25,131,131,25,3,39,4.0,25,"[{'quantity': 25, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 25)}]","[{'quantity': 131, 'arrival_date': datetime.date(2018, 3, 22)}]"
2018-03-22,1,122,156,25,131,131,156,0,156,122,0,34,34,122,122,34,3,25,4.0,34,"[{'quantity': 34, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 26)}]","[{'quantity': 122, 'arrival_date': datetime.date(2018, 3, 23)}]"
2018-03-23,1,163,156,34,122,122,156,0,156,156,7,0,0,156,156,0,3,34,,0,[],"[{'quantity': 156, 'arrival_date': datetime.date(2018, 3, 24)}]"
2018-03-24,1,44,156,0,156,156,156,0,156,44,0,112,112,44,44,112,4,156,4.0,112,"[{'quantity': 112, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 28)}]","[{'quantity': 44, 'arrival_date': datetime.date(2018, 3, 25)}]"
2018-03-25,1,62,156,112,44,44,156,0,156,62,0,94,94,62,62,94,3,112,3.0,50,"[{'quantity': 50, 'days_until_expiry': 3, 'expiry_date': datetime.date(2018, 3, 28)}, {'quantity': 44, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 29)}]","[{'quantity': 62, 'arrival_date': datetime.date(2018, 3, 26)}]"
2018-03-26,1,108,156,94,62,62,156,0,156,108,0,48,48,108,108,48,2,50,4.0,48,"[{'quantity': 48, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 30)}]","[{'quantity': 108, 'arrival_date': datetime.date(2018, 3, 27)}]"
2018-03-27,1,109,156,48,108,108,156,0,156,109,0,47,47,109,109,47,3,48,4.0,47,"[{'quantity': 47, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 3, 31)}]","[{'quantity': 109, 'arrival_date': datetime.date(2018, 3, 28)}]"
2018-03-28,1,106,156,47,109,109,156,0,156,106,0,50,50,106,106,50,3,47,4.0,50,"[{'quantity': 50, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 4, 1)}]","[{'quantity': 106, 'arrival_date': datetime.date(2018, 3, 29)}]"
2018-03-29,1,147,156,50,106,106,156,0,156,147,0,9,9,147,147,9,3,50,4.0,9,"[{'quantity': 9, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 4, 2)}]","[{'quantity': 147, 'arrival_date': datetime.date(2018, 3, 30)}]"
2018-03-30,1,64,156,9,147,147,156,0,156,64,0,92,92,64,64,92,3,9,4.0,92,"[{'quantity': 92, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 4, 3)}]","[{'quantity': 64, 'arrival_date': datetime.date(2018, 3, 31)}]"
2018-03-31,1,90,156,92,64,64,156,0,156,90,0,66,66,90,90,66,3,92,3.0,2,"[{'quantity': 2, 'days_until_expiry': 3, 'expiry_date': datetime.date(2018, 4, 3)}, {'quantity': 64, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 4, 4)}]","[{'quantity': 90, 'arrival_date': datetime.date(2018, 4, 1)}]"
2018-04-01,1,83,156,66,90,90,156,0,156,83,0,73,73,83,83,73,2,2,4.0,73,"[{'quantity': 73, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 4, 5)}]","[{'quantity': 83, 'arrival_date': datetime.date(2018, 4, 2)}]"
2018-04-02,1,58,156,73,83,83,156,0,156,58,0,98,98,58,58,98,3,73,3.0,15,"[{'quantity': 15, 'days_until_expiry': 3, 'expiry_date': datetime.date(2018, 4, 5)}, {'quantity': 83, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 4, 6)}]","[{'quantity': 58, 'arrival_date': datetime.date(2018, 4, 3)}]"
2018-04-03,1,142,156,98,58,58,156,0,156,142,0,14,14,142,142,14,2,15,4.0,14,"[{'quantity': 14, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 4, 7)}]","[{'quantity': 142, 'arrival_date': datetime.date(2018, 4, 4)}]"
2018-04-04,1,137,156,14,142,142,156,0,156,137,0,19,19,137,137,19,3,14,4.0,19,"[{'quantity': 19, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 4, 8)}]","[{'quantity': 137, 'arrival_date': datetime.date(2018, 4, 5)}]"
2018-04-05,1,94,156,19,137,137,156,0,156,94,0,62,62,94,94,62,3,19,4.0,62,"[{'quantity': 62, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 4, 9)}]","[{'quantity': 94, 'arrival_date': datetime.date(2018, 4, 6)}]"
2018-04-06,1,124,156,62,94,94,156,0,156,124,0,32,32,124,124,32,3,62,4.0,32,"[{'quantity': 32, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 4, 10)}]","[{'quantity': 124, 'arrival_date': datetime.date(2018, 4, 7)}]"
2018-04-07,1,53,156,32,124,124,156,0,156,53,0,103,103,53,53,103,3,32,4.0,103,"[{'quantity': 103, 'days_until_expiry': 4, 'expiry_date': datetime.date(2018, 4, 11)}]","[{'quantity': 53, 'arrival_date': datetime.date(2018, 4, 8)}]"
