date,n
2013-10-28,115
2013-10-29,117
2013-10-30,96
2013-10-31,91
2013-11-25,215
2013-11-26,254
2013-11-27,345
2013-11-28,240
2013-11-29,250
2013-11-30,62
2013-12-01,76
2013-12-02,141
2013-12-03,127
2013-12-04,146
2013-12-05,179
2013-12-06,36
2013-12-07,74
2013-12-08,39
2013-12-09,130
2013-12-10,145
2013-12-11,120
2013-12-12,136
2013-12-13,133
2013-12-14,66
2013-12-15,37
2013-12-16,129
2013-12-17,116
2013-12-18,131
2013-12-19,149
2013-12-20,121
2013-12-21,55
2013-12-22,56
2013-12-23,178
2013-12-24,62
2013-12-25,80
2013-12-26,39
2013-12-27,172
2013-12-28,82
2013-12-29,56
2013-12-30,153
2013-12-31,142
2014-01-01,46
2014-01-02,135
2014-01-03,90
2014-01-04,85
2014-01-05,40
2014-01-06,51
2014-01-07,136
2014-01-08,140
2014-01-09,160
2014-01-10,134
2014-01-11,61
2014-01-12,42
2014-01-13,183
2014-01-14,147
2014-01-15,109
2014-01-16,120
2014-01-17,112
2014-01-18,31
2014-01-19,91
2014-01-20,137
2014-01-21,156
2014-01-22,117
2014-01-23,161
2014-01-24,126
2014-01-25,29
2014-01-26,40
2014-01-27,156
2014-01-28,125
2014-01-29,151
2014-01-30,113
2014-01-31,101
2014-02-01,67
2014-02-02,56
2014-02-03,157
2014-02-04,114
2014-02-05,104
2014-02-06,115
2014-02-07,141
2014-02-08,42
2014-02-09,28
2014-02-10,159
2014-02-11,116
2014-02-12,115
2014-02-13,103
2014-02-14,136
2014-02-15,59
2014-02-16,74
2014-02-17,121
2014-02-18,126
2014-02-19,86
2014-02-20,124
2014-02-21,148
2014-02-22,25
2014-02-23,81
2014-02-24,123
2014-02-25,141
2014-02-26,110
2014-02-27,123
2014-02-28,131
2014-03-01,66
2014-03-02,78
2014-03-03,105
2014-03-04,112
2014-03-05,118
2014-03-06,123
2014-03-07,103
2014-03-08,28
2014-03-09,76
2014-03-10,133
2014-03-11,113
2014-03-12,108
2014-03-13,117
2014-03-14,160
2014-03-15,55
2014-03-16,54
2014-03-17,157
2014-03-18,130
2014-03-19,102
2014-03-20,108
2014-03-21,103
2014-03-22,61
2014-03-23,41
2014-03-24,144
2014-03-25,109
2014-03-26,108
2014-03-27,133
2014-03-28,121
2014-03-29,58
2014-03-30,55
2014-03-31,169
2014-04-01,121
2014-04-02,128
2014-04-03,116
2014-04-04,131
2014-04-05,40
2014-04-06,86
2014-04-07,174
2014-04-08,158
2014-04-09,133
2014-04-10,136
2014-04-11,141
2014-04-12,72
2014-04-13,52
2014-04-14,120
2014-04-15,134
2014-04-16,131
2014-04-17,131
2014-04-18,45
2014-04-19,151
2014-04-20,44
2014-04-21,89
2014-04-22,169
2014-04-23,129
2014-04-24,66
2014-04-25,152
2014-04-26,33
2014-04-27,35
2014-04-28,149
2014-04-29,120
2014-04-30,123
2014-05-01,51
2014-05-02,174
2014-05-03,61
2014-05-04,59
2014-05-05,166
2014-05-06,140
2014-05-07,100
2014-05-08,146
2014-05-09,74
2014-05-10,69
2014-05-11,71
2014-05-12,102
2014-05-13,104
2014-05-14,117
2014-05-15,149
2014-05-16,129
2014-05-17,46
2014-05-18,58
2014-05-19,130
2014-05-20,95
2014-05-21,161
2014-05-22,102
2014-05-23,147
2014-05-24,45
2014-05-25,87
2014-05-26,121
2014-05-27,109
2014-05-28,173
2014-05-29,54
2014-05-30,191
2014-05-31,64
2014-06-01,61
2014-06-02,147
2014-06-03,103
2014-06-04,139
2014-06-05,118
2014-06-06,156
2014-06-07,57
2014-06-08,50
2014-06-09,115
2014-06-10,164
2014-06-11,95
2014-06-12,139
2014-06-13,153
2014-06-14,27
2014-06-15,78
2014-06-16,155
2014-06-17,104
2014-06-18,132
2014-06-19,167
2014-06-20,22
2014-06-21,61
2014-06-22,47
2014-06-23,168
