date;n;name;size;class
2013-10-28;14;HUSLAB MEILAHTI VERIKESKUS;large;delivery
2013-10-28;1-5;HUSLAB HYVINKÄÄN SAIRAALA VERIKESKUS;medium;delivery
2013-10-28;6;PHKS VERIKESKUS, LAHTI;medium;delivery
2013-10-28;12;TYKSLAB VERIKESKUS;large;delivery
2013-10-28;1-5;HUSLAB JORVIN SAIRAALA VERIKESKUS;medium;delivery
2013-10-28;1-5;HUSLAB PEIJAKSEN SAIRAALA VERIKESKUS;medium;delivery
2013-10-28;8;FIMLAB TAMPERE VERIKESKUS;large;delivery
2013-10-28;1-5;POHJOIS-KYMEN SAIRAALA VERIKESKUS;small;delivery
2013-10-28;1-5;KYMKS VERIKESKUS, KOTKA;large;delivery
2013-10-28;1-5;SEINÄJOEN KS VERIKESKUS;medium;delivery
2013-10-28;1-5;VAASAN KS VERIKESKUS;medium;delivery
2013-10-28;1-5;NORDLAB KOKKOLA VERIKESKUS;medium;delivery
2013-10-28;17;ISLAB KUOPIO VERIKESKUS;large;delivery
2013-10-28;6;ISLAB JOENSUU  VERIKESKUS;medium;delivery
2013-10-28;26;NORDLAB OULU VERIKESKUS;large;delivery
2013-10-28;1-5;NORDLAB ROVANIEMI VERIKESKUS;medium;delivery
2013-10-28;1-5;ISLAB KUOPIO VERIKESKUS;large;return
2013-10-29;1-5;HUSLAB TÖÖLÖN SAIRAALA;medium;delivery
2013-10-29;20;HUSLAB MEILAHTI VERIKESKUS;large;delivery
2013-10-29;1-5;HUSLAB LOHJAN SAIRAALA VERIKESKUS;medium;delivery
2013-10-29;1-5;FIMLAB  HÄMEENLINNA VERIKESKUS;medium;delivery
2013-10-29;27;TYKSLAB VERIKESKUS;large;delivery
2013-10-29;1-5;HUSLAB PEIJAKSEN SAIRAALA VERIKESKUS;medium;delivery
2013-10-29;28;FIMLAB TAMPERE VERIKESKUS;large;delivery
2013-10-29;1-5;FIMLAB VERIKESKUS, JYVÄSKYLÄ;medium;delivery
2013-10-29;1-5;ISLAB MIKKELI VERIKESKUS;medium;delivery
2013-10-29;1-5;VAASAN KS VERIKESKUS;medium;delivery
2013-10-29;7;ISLAB KUOPIO VERIKESKUS;large;delivery
2013-10-29;9;NORDLAB OULU VERIKESKUS;large;delivery
2013-10-29;1-5;NORDLAB KEMI VERIKESKUS;medium;delivery
2013-10-29;1-5;NORDLAB ROVANIEMI VERIKESKUS;medium;delivery
2013-10-30;1-5;HUSLAB KIRURGINEN SAIRAALA;small;delivery
2013-10-30;1-5;HUSLAB TÖÖLÖN SAIRAALA;medium;delivery
2013-10-30;20;HUSLAB MEILAHTI VERIKESKUS;large;delivery
