"size","year","mean","sd","median","q25","q75","mode1","mode2"
"large",2013,17.8717948717949,13.6025685248474,15,8.5,24,2,NA
"large",2014,15.6257275902212,10.1776973285884,14,8,21,2,NA
"large",2015,16.0834312573443,10.0371488922131,15,8,22,2,NA
"large",2016,14.955595026643,9.0276585805664,14,8,20,2,NA
"large",2017,15.0133488102147,9.56652521811132,14,8,21,2,NA
"large",2018,14.993670886076,10.2850823547594,13,7,20,2,NA
"large",2019,13.9988564894225,8.99510411307929,13,6,20,2,NA
"large",2020,14.6678571428571,9.76059496289533,13,6,22,2,NA
"medium",2013,3.89972899728997,3.14991803417329,3,2,4,2,NA
"medium",2014,3.2922619047619,2.09331281989345,2,2,4,2,NA
"medium",2015,3.41338221814849,2.13808847536719,2,2,4,2,NA
"medium",2016,3.28620797989318,2.08269217683053,2,2,4,2,NA
"medium",2017,3.09336029659589,1.92327014146068,2,2,4,2,NA
"medium",2018,2.98190847818375,1.82133844088579,2,2,4,2,NA
"medium",2019,2.95194424064563,1.73180763551586,2,2,4,2,NA
"medium",2020,3.12064965197216,1.8437362332777,2,2,4,2,NA
"small",2013,2.425,0.902631480585288,2,2,2.25,2,NA
"small",2014,2.17857142857143,0.955671633290795,2,2,2,2,NA
"small",2015,2.24415584415584,0.936873889049473,2,2,2,2,NA
"small",2016,2.13095238095238,0.962811643402592,2,2,2,2,NA
"small",2017,2.05925925925926,0.70328980487075,2,2,2,2,NA
"small",2018,2.02057613168724,0.933528628247964,2,2,2,2,NA
"small",2019,1.93406593406593,0.671951686630914,2,2,2,2,NA
"small",2020,2.12068965517241,1.07731938620407,2,2,2,2,NA
